name,artist,album,release,minutes,seconds,link
Incomplete,Dev Ahir,Incomplete,2025-04-11,2,53,https://open.spotify.com/track/1KgYkewXlUwNnmb5wAebCf
7 Years,SkyDxddy,7 Years,2023-12-08,2,55,https://open.spotify.com/track/6bxeK3uwYvN0qaXjroKenD
It's Gonna Be Me,*NSYNC,No Strings Attached,2000-03-21,3,12,https://open.spotify.com/track/2AW37v0bDyuOzGP3XnmFuA
Jumpin` Jumpin,ATMOX,Jumpin` Jumpin,2024-02-07,3,11,https://open.spotify.com/track/3lYFfQdgEiZJwcoqyiZKLY
Try Again (SP303 + SP404SX),Hi_Post,Try Again (SP303 + SP404SX),2023-01-02,2,16,https://open.spotify.com/track/5o5tCdZrMfngIQk0u055Ai
I Wanna Know,Shreyansh Janagal,I Wanna Know,2024-08-08,2,57,https://open.spotify.com/track/5LHBKcqxWg3ZzStDmazkPv
everything you want,noir motif,a new day,2025-10-03,2,39,https://open.spotify.com/track/0h6Zn663uiAipQnf9OuaRl
Absolutely (Story of a Girl) - Radio Mix,Nine Days,The Madding Crowd,2000-05-16,3,9,https://open.spotify.com/track/3mNecsYFb6LQg7822DPXCP
The Higher You Climb,Tasmin Archer,Great Expectations,1992-10-19,3,59,https://open.spotify.com/track/7mxCbwh6vHVphI98PHT1na
Doesn't Really Matter,DJ Vend-Linu,True Art 2 (Teck (Edition),2024-10-07,2,22,https://open.spotify.com/track/0y7WmOXUgOogkuGGyqLqSk
I Need You,DJGaur,I Need You,2023-04-18,2,49,https://open.spotify.com/track/0IQyhp56xmWzlmvUsXTd7M
The Drugs Don't Work,The Verve,Urban Hymns (Deluxe / Remastered 2016),1997-09-29,5,4,https://open.spotify.com/track/15kLz0zNFdtsaJdXKSGmTU
He Wasn't Man Enough,Toni Braxton,The Heat,2000,4,21,https://open.spotify.com/track/7f1Dmr246cJ9uQYdbplTbh
Let's Get Married,Vedo,V-Mix's,2017-02-23,2,27,https://open.spotify.com/track/5I3awGZwl6hv1qI9p4Nqmd
Year 2050,just here.,We Here,2025-10-27,3,16,https://open.spotify.com/track/1g1TyG0hwmYk63eGed8ZIo
There You Go - Acapella Vocal,Vocal Library,There You Go (Acapella Vocal),2025-07-25,1,0,https://open.spotify.com/track/6YYMRCpwklRgE01zk0nStp
Country Grammar (Hot Shit),Nelly,Country Grammar,2000-06-27,4,47,https://open.spotify.com/track/3wMUvT6eIw2L5cZFG1yH9j
Kryptonite,3 Doors Down,The Better Life,2000,3,53,https://open.spotify.com/track/6ZOBP3NvffbU4SZcrnt1k6
Desert Rose - Remix,Kays Beatz,Desert Rose (Remix),2022-05-31,3,19,https://open.spotify.com/track/4vSyAIorVoA2ATy6c2G7Fg
Wifey ft. AJbuoy,AJBuoy,Wifey,2025-09-01,2,55,https://open.spotify.com/track/2QRP2M3G9JwUsRk6pFR49J
I Think I'm In Love - Radio edit,Mermaidia,I Think I'm In Love,2025-06-21,2,4,https://open.spotify.com/track/6BYlMSMHhERa1oMb5kFIrB
Tere Sang,Sachet-Parampara,Tere Sang,2025-01-05,3,11,https://open.spotify.com/track/3HbXt284KAgePjw4JOUpy6
Breathe,RHYTHOM,Breathe,2020-11-02,4,56,https://open.spotify.com/track/4xAoCiZsmXPSnYad8vs545
I Wanna Be with You,Melodyan,I Wanna Be with You,2025-09-08,1,52,https://open.spotify.com/track/0NxoXXy3mMVMtZh5K9Llj7
Wonderful Dreams,Calmly,Feelings,2023-12-27,2,8,https://open.spotify.com/track/65uohSsJQqrcPm5njwy9RO
"What Jhumka ? (From ""Rocky Aur Rani Kii Prem Kahaani"")",Pritam,"What Jhumka ? (From ""Rocky Aur Rani Kii Prem Kahaani"")",2023-07-12,3,33,https://open.spotify.com/track/4uNxdQ1L4Xa52MWX864QhW
The Next Episode,Dr. Dre,2001,1999-11-16,2,41,https://open.spotify.com/track/4LwU4Vp6od3Sb08CsP99GC
Be with You,Paramveer Tiwana,Be with You,2025-10-08,3,26,https://open.spotify.com/track/61eOcCVYN0qRPfupzFf6dM
I Turn to You,TMTBellC,I Turn to You,2024-04-27,1,53,https://open.spotify.com/track/6TCUaTBddYGbiCFo3hjP2T
That's The Way (Original Mix),Linopari,Lineas de tiempo,2024-08-03,2,26,https://open.spotify.com/track/0fv4yaI4YxnUxVZ6kIEaZU
Separated by 20 Years - 2015 Remix,Elekkk,Lucid Dub Techno,2023-01-26,7,49,https://open.spotify.com/track/1u1vCVEjJO4u9bVNSXfLkX
Love Me Again - Remix,Mitraz,Love Me Again (Remix),2024-01-14,2,7,https://open.spotify.com/track/7FJFbqD4sluKDJZVxXp6VI
I Hope You Dance,Lee Ann Womack,I Hope You Dance,2000-01-01,4,54,https://open.spotify.com/track/65B1tEOv5W294uCKbmEcFV
What About Now,Lonestar,Lonely Grill,1999,3,30,https://open.spotify.com/track/1xK2NkwOfT8qZYWPossXGz
Big Pimpin',JAY-Z,Vol. 3... Life And Times Of S. Carter,1999-12-28,4,43,https://open.spotify.com/track/7m97yKVzPpXV9Z4ezEziOD
Smooth,Azimov,Smooth,2024-05-07,3,34,https://open.spotify.com/track/2RWkwuujj5DwORXVMmnwFs
Purest of Pain,KLB,3D,2011-11-10,5,44,https://open.spotify.com/track/6l1H0etZwLMfxexkMXLOc6
Daylight,TCTS,Daylight,2025-04-18,2,33,https://open.spotify.com/track/2uFY0PF58YPA3kgWlxjUKI
"It Must Have Been Love - From the Film ""Pretty Woman""",Roxette,It Must Have Been Love,1990-05-20,4,19,https://open.spotify.com/track/6kvoHl80mfCVTv7XnZkjQn
I Try,Hirux,I Try,2025-08-26,2,33,https://open.spotify.com/track/5OlDqqqiFRktsvBx2Crnsm
7 Years - Sped Up Version,sped up + nightcore,sped up songs to cry to,2023-06-01,3,19,https://open.spotify.com/track/2OQM71L8qmlwIPbiwQgpfD
Where I Wanna Be,Eduardo Rayez,Where I Wanna Be,2023-02-10,3,1,https://open.spotify.com/track/59rr6rVtoAzOQQH0i5DSKJ
Faded,Nagii,Faded,2022-12-20,2,35,https://open.spotify.com/track/6hdBPn8zShKTNoGwBr8Edn
One Love,Blue,One Love,2002,3,27,https://open.spotify.com/track/2W5acFzXf5FrktecuD30Or
